년월,업종,연령대,성별,사용금액,이용자수
201601,일반병원,30대,여자,729853,60
201601,외국어학원,30대,남자,79977,60
201601,한식,30대,여자,268099,30
201601,커피전문점,30대,여자,511551,267
201601,기타요식,30대,남자,38731,5
201601,제과점,50대,남자,155930,5
201601,백화점,50대,여자,437610,166
201601,기타유통,50대,여자,1296734,20
201601,통신,60대,여자,140840,70
201601,면세점,70대이상,남자,684080,15
201602,할인점/슈퍼마켓,20대,남자,422520,10
201602,할인점/슈퍼마켓,20대,여자,28671,75
201602,제과점,20대,남자,1018575,40
201602,편의점,20대,남자,75450,5
201602,기타요식,50대,여자,1746416,15
201602,기타음/식료품,50대,여자,195516,10
201602,교통,50대,여자,236913,171
201602,취미/오락,50대,남자,221622,5
201602,일식,70대이상,남자,1327920,10
201603,약국,30대,남자,31186,10
201603,기타요식,30대,남자,1171789,15
201603,항공,30대,남자,4644853,5
201603,할인점/슈퍼마켓,40대,남자,837495,5
201603,한식,60대,남자,206783,10
201603,안경,70대이상,남자,80983,5
201604,결제대행(PG),20대,남자,1405382,171
201604,안경,20대,여자,134804,40
201604,자동차서비스,30대,남자,7545,20
201604,온라인거래,40대,남자,101103,15
201604,결제대행(PG),40대,남자,646858,5
201604,보험,40대,남자,160457,10
201604,일식,50대,여자,105630,5
201604,일반병원,50대,여자,989904,10
201604,미용실,60대,남자,50300,20
201604,생활잡화,60대,여자,520404,5
201604,패스트푸드,60대,남자,72935,121
201605,종합병원,10대,남자,144361,10
201605,중식,20대,남자,75450,5
201605,편의점,20대,여자,216290,30
201605,노래방,30대,여자,30180,15
201605,한식,30대,여자,104624,60
201605,교통,40대,남자,80480,5
201605,기타유통,40대,여자,220817,5
201605,일반병원,50대,남자,23551179,86
201605,패션/잡화,60대,여자,2069845,35
201606,홈쇼핑,10대,여자,73589,10
201606,치과병원,10대,남자,123235,35
201606,항공,20대,여자,50803,55
201606,기타유통,30대,여자,633780,10
201606,중식,40대,여자,750325,231
201606,화장품,50대,남자,654504,5
201606,기타요식,60대,여자,160457,5
201606,생활잡화,60대,남자,2766500,10
201606,통신,70대이상,남자,477347,121
201606,문화용품,70대이상,여자,2539647,15
201607,노래방,20대,여자,751482,96
201607,화장품,30대,남자,19322795,50
201607,미용실,30대,여자,50300,10
201607,패션/잡화,30대,여자,75450,30
201607,통신,30대,남자,196170,96
201607,한식,40대,여자,967219,5
201607,LPG,40대,남자,442640,45
201607,기타음/식료품,50대,남자,11066,5
201608,교통,20대,여자,9590198,15
201608,기타요식,20대,여자,30180,50
201608,통신,30대,남자,132792,10
201608,중식,30대,남자,90540,10
201608,기타요식,40대,남자,407430,10
201608,결제대행(PG),50대,여자,417993,10
201608,농수산물,50대,여자,75450,488
201608,교통,60대,남자,62875,10
201608,미용서비스,70대이상,여자,534538,10
201608,백화점,70대이상,남자,356627,20
201609,미용실,20대,여자,40240,20
201609,일식,40대,남자,108145,25
201610,편의점,20대,남자,77965,5
201610,약국,40대,여자,29677,50
201610,백화점,40대,남자,1547329,10
201610,생활잡화,60대,남자,2101031,15
201610,온라인거래,70대이상,남자,228614,15
201610,커피전문점,70대이상,여자,125750,10
201610,약국,70대이상,남자,1597930,55
201611,한의원,10대,여자,10060,30
201611,통신,30대,여자,143355,20
201611,LPG,40대,남자,226350,45
201611,할인점/슈퍼마켓,40대,남자,782417,15
201611,편의점,40대,남자,55330,5
201611,스포츠/레저용품,50대,남자,70420,5
201611,커피전문점,70대이상,여자,58348,65
201612,한식,20대,남자,2087953,45
201612,기타요식,30대,남자,89031,282
201612,업무서비스,30대,남자,286157,30
201612,한식,40대,여자,61869,25
201612,통신,60대,남자,78569,45
201701,결제대행(PG),20대,여자,215284,5
201701,교육용품,20대,남자,80480,15
201701,결제대행(PG),20대,남자,15090,5
201701,호텔/콘도,30대,여자,16096,161
201701,약국,40대,여자,89031,25
201701,할인점/슈퍼마켓,40대,여자,79172,5
201701,한식,60대,여자,318902,10
201702,기타요식,20대,남자,2003348,10
201702,제과점,20대,남자,447670,5
201702,LPG,30대,남자,135810,10
201702,슈퍼마켓,40대,남자,1646269,20
201702,호텔/콘도,60대,여자,495707,5
201702,생활서비스,60대,남자,130780,60
201702,편의점,70대이상,남자,155930,45
201702,화원,70대이상,남자,952682,10
201703,보험,20대,남자,190637,15
201703,인테리어,30대,남자,89232,5
201703,결제대행(PG),40대,남자,509539,25
201703,약국,40대,여자,46779,45
201703,스포츠시설,50대,여자,414975,684
201704,중식,20대,여자,75450,35
201704,가전,30대,여자,7545,25
201704,화장품,40대,남자,1511515,141
201704,종합병원,60대,여자,117199,5
201704,주유소,60대,여자,35210,5
201704,결제대행(PG),70대이상,여자,15,10
201705,편의점,30대,여자,524378,70
201705,생활서비스,30대,남자,155930,5
201705,백화점,40대,남자,21126,5
201705,편의점,40대,남자,434894,5
201705,양식,50대,여자,244458,25
201705,생활잡화,60대,여자,2515,20
201705,중식,60대,남자,82492,40
201706,서점,40대,남자,104624,116
201706,결제대행(PG),50대,여자,713455,5
201706,일반병원,50대,남자,47282,5
201706,제과점,60대,남자,920490,50
201707,온라인거래,20대,여자,29174,5
201707,보험,20대,여자,418999,15
201707,커피전문점,30대,여자,226350,5
201707,생활서비스,30대,여자,118708,25
201707,안경,40대,여자,100600,5
201707,약국,50대,여자,436604,5
201707,의복/의류,70대이상,여자,22635,5
201707,일반병원,70대이상,여자,128768,15
201708,편의점,10대,남자,998455,10
201708,중식,10대,여자,11102382,25
201708,통신,20대,여자,148938,25
201708,보험,20대,남자,126756,25
201708,기타요식,30대,여자,2157367,25
201708,약국,30대,여자,1981166,80
201708,자동차서비스,40대,여자,21629,5
201708,중식,50대,여자,504439,5
201708,가구,50대,남자,42252,176
201708,자동차용품,60대,남자,352100,55
201709,한식,20대,여자,161966,15
201709,일반병원,30대,남자,452700,131
201709,한식,30대,남자,205224,10
201709,백화점,30대,여자,75450,45
201709,생활잡화,40대,여자,130780,5
201709,보험,40대,남자,52564,5
201709,통신,50대,남자,39234,191
201709,교통,50대,남자,187116,20
201710,한식,20대,남자,27162,5
201710,주유소,30대,여자,687048,181
201710,교통,30대,여자,426544,15
201710,커피전문점,40대,여자,81184,45
201710,약국,40대,남자,29174,5
201710,할인점/슈퍼마켓,40대,여자,2663385,10
201710,교통,50대,남자,2067582,10
201710,패스트푸드,50대,여자,421514,5
201710,온라인거래,60대,여자,60360,5
201711,기타음/식료품,30대,남자,415478,5
201711,보험,40대,여자,25407,10
201711,한의원,40대,남자,2471038,25
201711,기타가전/가구,50대,남자,1183056,96
201711,커피전문점,50대,남자,40240,5
201711,기타음/식료품,60대,여자,15090,15
