년월,시간대,업종,사용금액,이용자수
201601,3,교육/학원,708727,5
201601,4,가정생활/서비스,56336,5
201601,4,전자상거래,10060,5
201601,4,주유,280674,5
201601,5,유통,845040,40
201601,6,가전/가구,851579,30
201601,6,음/식료품,759530,20
201602,2,유통,390630,5
201602,2,전자상거래,20120,10
201602,4,주유,43258,25
201602,5,요식/유흥,447595,20
201602,6,음/식료품,301800,5
201602,6,자동차,774972,10
201603,1,요식/유흥,716825,5
201603,2,전자상거래,19114,10
201603,3,요식/유흥,887292,50
201603,3,전자상거래,538210,10
201603,4,유통,60360,25
201603,5,여행/교통,117199,10
201603,5,의료,162972,10
201603,6,주유,210294,15
201604,1,유통,393130,10
201604,2,의료,910933,10
201604,3,요식/유흥,210757,10
201604,3,유통,657119,5
201604,4,가정생활/서비스,12575,5
201604,4,전자상거래,72935,10
201604,5,가정생활/서비스,1328624,5
201604,5,스포츠/문화/레저,452197,15
201604,5,유통,22635,5
201604,5,전자상거래,215536,15
201604,6,미용,1345575,15
201604,6,전자상거래,49797,5
201605,2,미용,211260,20
201605,3,스포츠/문화/레저,153415,15
201605,3,자동차,80480,25
201605,4,주유,748263,15
201605,5,요식/유흥,145619,5
201605,6,자동차,180124,15
201606,1,의료,1114296,5
201606,1,전자상거래,120720,5
201606,2,요식/유흥,748866,5
201606,2,음/식료품,1206697,10
201606,2,의료,104624,55
201606,2,전자상거래,109101,5
201606,3,전자상거래,449330,10
201606,4,여행/교통,10559831,5
201606,4,의료,60360,5
201606,4,전자상거래,193152,10
201606,5,요식/유흥,430266,5
201606,5,전자상거래,150900,25
201606,6,유통,50300,45
201607,1,음/식료품,43208,40
201607,2,스포츠/문화/레저,33701,5
201607,2,유통,301800,15
201607,4,여행/교통,48791,50
201607,6,교육/학원,2218230,30
201608,5,음/식료품,120217,25
201609,3,여행/교통,327453,35
201609,3,음/식료품,23641,5
201609,4,요식/유흥,769590,40
201609,4,유통,1176301,5
201609,5,여행/교통,753896,10
201609,5,음/식료품,377250,5
201609,6,미용,425437,106
201609,6,의료,217985,50
201610,2,가정생활/서비스,2698771,25
201610,2,의료,48288,25
201610,3,자동차,236410,5
201610,4,가정생활/서비스,167952,5
201610,4,유통,311860,5
201610,5,가전/가구,1207200,10
201610,6,요식/유흥,104624,10
201610,6,전자상거래,10060,10
201611,1,전자상거래,28168,5
201611,3,가정생활/서비스,997449,5
201611,3,스포츠/문화/레저,592031,10
201611,4,요식/유흥,549276,5
201611,5,음/식료품,15090,70
201611,5,전자상거래,130780,55
201612,3,요식/유흥,511652,20
201612,3,의료,1005140,70
201612,4,전자상거래,436000,5
201612,5,음/식료품,122229,10
201612,6,유통,305975,55
201701,3,요식/유흥,1509000,10
201701,4,스포츠/문화/레저,482427,5
201701,4,요식/유흥,213574,5
201701,5,스포츠/문화/레저,1006000,5
201702,1,요식/유흥,2012,5
201702,2,의료,125750,30
201702,3,유통,1815830,15
201702,5,미용,372220,40
201702,5,의료,373729,20
201702,5,주유,1857328,45
201703,2,주유,394302,10
201703,3,요식/유흥,274789,15
201703,4,요식/유흥,159954,25
201703,4,전자상거래,466231,55
201703,5,유통,406424,90
201703,5,음/식료품,201200,5
201703,5,의료,497970,15
201703,6,여행/교통,1035929,20
201704,1,의류/잡화,1020587,10
201704,2,음/식료품,12575,70
201704,3,가정생활/서비스,169008,45
201704,3,요식/유흥,816872,20
201704,3,의료,5098006,10
201704,5,요식/유흥,183595,5
201704,5,유통,50300,5
201705,4,유통,565473,80
201705,4,음/식료품,146373,5
201705,4,자동차,50300,50
201705,6,유통,1016060,25
201706,1,음/식료품,711745,5
201706,2,자동차,40240,5
201706,2,전자상거래,6036,5
201706,3,주유,5030,20
201706,4,가정생활/서비스,4804173,35
201706,5,스포츠/문화/레저,14587,35
201706,5,여행/교통,1341199,15
201706,5,의료,1681529,10
201706,6,가정생활/서비스,621708,40
201706,6,유통,341688,5
201707,2,가정생활/서비스,11394962,50
201707,2,여행/교통,587001,15
201707,2,전자상거래,90540,25
201707,3,미용,52815,5
201707,3,음/식료품,145870,25
201708,1,교육/학원,157439,30
201708,1,주유,291740,15
201708,2,가정생활/서비스,20120,5
201708,2,의류/잡화,418898,50
201708,3,전자상거래,1382546,10
201708,4,의류/잡화,790414,5
201708,4,전자상거래,435497,5
201708,5,가정생활/서비스,414724,15
201709,1,전자상거래,168958,10
201709,2,요식/유흥,132002,40
201709,3,주유,18611,35
201709,4,유통,70420,40
201709,4,전자상거래,211260,25
201709,4,주유,854547,5
201709,5,스포츠/문화/레저,1381982,5
201710,1,전자상거래,754500,10
201710,3,미용,137822,20
201710,4,요식/유흥,1070887,5
201710,5,유통,47785,15
201710,6,가정생활/서비스,424029,15
201711,3,유통,276650,10
201711,3,전자상거래,2193432,10
201711,4,음/식료품,273079,15
201711,4,의료,129020,5
201711,4,의류/잡화,256681,30
201711,5,유통,50300,25
201711,6,가정생활/서비스,287213,10
201711,6,여행/교통,756160,191
201711,6,주유,50300,5
201712,1,요식/유흥,826530,5
201712,1,유통,94011,5
201712,2,의료,384795,20
201712,3,스포츠/문화/레저,986181,10
201712,3,유통,534941,10
201712,3,전자상거래,181080,60
201712,4,가정생활/서비스,150900,5
201712,5,스포츠/문화/레저,1307398,35
201712,5,의료,1076018,5
201712,5,자동차,698214,5
201712,5,전자상거래,1084971,10
201712,6,여행/교통,248281,50
201712,6,전자상거래,21629,20
201801,2,스포츠/문화/레저,19617,5
201801,2,여행/교통,1498135,5
201801,2,음/식료품,6539,40
201801,3,요식/유흥,356124,10
201801,3,의류/잡화,58348,5
201801,4,가정생활/서비스,365555,10
201801,4,유통,2942651,5
201801,5,교육/학원,251500,5
201801,5,의료,70420,5
201801,5,전자상거래,331980,5
201802,1,의료,459541,20
201802,2,요식/유흥,477347,5
201802,2,유통,181080,10
201802,3,여행/교통,843028,5
201802,3,요식/유흥,1700140,15
201802,5,미용,75450,30
201802,5,유통,81486,5
201802,6,여행/교통,2561276,5
201802,6,의류/잡화,329465,30
201803,2,전자상거래,1550246,65
201803,4,전자상거래,519599,5
201803,5,가정생활/서비스,45270,15
201803,5,전자상거래,181080,35
201804,1,스포츠/문화/레저,97783,15
201804,3,스포츠/문화/레저,300794,5
